Data,Tweet
2018-07-20 14:41:46,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:41:26,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 14:40:54,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:40:23,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:39:29,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:36:48,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:33:56,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:33:40,Não gaste msg com quem não responde. Não gaste palavras com quem não escuta. Não gaste sua vida com quem não te merece! #MaisVoce
2018-07-20 14:32:54,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:32:39,RT @SiteCTV: Qual a melhor atração matutina da Globo?  RT= #MaisVocê Fav= #Encontro 
2018-07-20 14:29:44,@MaisVoce_Globo O SILÊNCIO NÃO É RESPOSTA E SIM O AMOR PRÓPRIO #RedeGlobo #MaisVoce 
2018-07-20 14:27:16,RT @SiteCTV: Qual a melhor atração matutina da Globo?  RT= #MaisVocê Fav= #Encontro 
2018-07-20 14:25:51,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 14:25:39,RT @TVGloboInter: Pensamento poderoso do dia!  #MaisVocê 
2018-07-20 14:24:57,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:24:55,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:24:44,RT @SiteCTV: Qual a melhor atração matutina da Globo?  RT= #MaisVocê Fav= #Encontro 
2018-07-20 14:24:17,RT @SiteCTV: Qual a melhor atração matutina da Globo?  RT= #MaisVocê Fav= #Encontro 
2018-07-20 14:23:39,RT @SiteCTV: Qual a melhor atração matutina da Globo?  RT= #MaisVocê Fav= #Encontro 
2018-07-20 14:23:22,RT @TVGloboInter: Pensamento poderoso do dia!  #MaisVocê 
2018-07-20 14:22:34,RT @SiteCTV: Qual a melhor atração matutina da Globo?  RT= #MaisVocê Fav= #Encontro 
2018-07-20 14:21:35,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:21:26,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 14:20:26,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:19:48,RT @chimphoria: Não deixem esse vídeo morrer #MaisVoce 
2018-07-20 14:19:02,Qual a melhor atração matutina da Globo?  RT= #MaisVocê Fav= #Encontro 
2018-07-20 14:17:59,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 14:17:36,RT @MaisVoce_Globo: Vem que sextouuu!! #MaisVocê 
2018-07-20 14:14:43,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:14:04,RT @MaisVoce_Globo: Vem que sextouuu!! #MaisVocê 
2018-07-20 14:13:50,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 14:13:34,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:13:12,RT @TVGloboInter: Pensamento poderoso do dia!  #MaisVocê 
